traceId,time,lng,lat,sunlit,shadowPercent,bucketStart,bucketEnd,source,cloudCover,sunlightFactor,sunlitEffective,shadowPercentEffective,solarIrradianceWm2,irradianceEffective,durationSeconds,sunlightSeconds,shadowSeconds,irradianceJ
4,2021-11-19T03:50:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:50:00.000Z,2021-11-19T03:51:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:51:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:51:00.000Z,2021-11-19T03:52:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:52:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:52:00.000Z,2021-11-19T03:53:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:53:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:53:00.000Z,2021-11-19T03:54:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:54:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:54:00.000Z,2021-11-19T03:55:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:55:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:55:00.000Z,2021-11-19T03:56:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:56:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:56:00.000Z,2021-11-19T03:57:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:57:27.000Z,114.1288861,22.2806829,1,0,2021-11-19T03:57:00.000Z,2021-11-19T03:58:00.000Z,engine,0.989349365234375,0.15905303955078132,0.15905303955078132,84.09469604492188,,,60,9.543182373046879,50.456817626953125,
4,2021-11-19T03:58:27.000Z,114.1296292,22.2798684,0,100,2021-11-19T03:58:00.000Z,2021-11-19T03:59:00.000Z,engine,0.989349365234375,0.15905303955078132,0,100,,,60,0,60,
4,2021-11-19T03:59:27.000Z,114.1296292,22.2798684,0,100,2021-11-19T03:59:00.000Z,2021-11-19T04:00:00.000Z,engine,0.989349365234375,0.15905303955078132,0,100,,,60,0,60,
